form|lause|classification
olümpiafinaalis|Kaks aastat hiljem Londoni mängudel osales kuus meeskonda viiest riigist ning olümpiafinaalis alistas Suurbritannia 8000 pealtvaataja silme all White City staadionil Frederick Chapmani ja Vivian Woodwardi väravatest Taani 2 : 0.|NONE
olümpiafinaalis|Vaid üks olümpial võistelnud NHL-i meestest nõustus Tre Kronori kollase särgi selga tõmbama Detroit Red Wingsi kaitsja Nicklas Kronwall , kes olümpiafinaalis Soome võrku ka ühe värava viskas .|NONE
Olümpiafinaalis|Olümpiafinaalis kaotasite napilt kuubalasele Feliberto Ascuyle .|NONE
NONE
olümpiafinaalist|Aleksander Tammert saavutas Sydney mängude kettaheitevõistlusel 63.25-ga 9. koha , kusjuures olümpiafinaalist jäi teda lahutama üheksa sentimeetrit .|NONE
kuuldemängus|"Raadioteater andis oma 72. sünnipäeval Eesti Raadio näitlejapreemia Helene Vannarile osatäitmise eest kuuldemängus "" Hall mees "" ."|NONE
kuuldemängus|Uues kuuldemängus mängivad Liina Olmaru , Jaan Rekkor , Silvia Laidla , Helene Vannari , Rudolf Allabert , Kaido Veermäe , Leino Rei , Tiit Sukk , Eva Püssa jt.|NONE
kuuldemängus|Eesti Draamateatri näitleja Aarne Üksküla sai 5000-kroonise preemia Eino Leino osatäitmise eest Hannu Mäkelä kuuldemängus , teatas ETAle Eesti Raadio avalike suhete nõunik Anneli Milistver .|NONE
"""kuuldemängust"|"Saluri kirjutas kunagi pika palumise peale kuuldemängust näidendi ( "" Külalised "" ) , miks ei võiks nüüd Viivi Luike teatrisse meelitama hakata ."|"NONE"""
"""kuuldemängudes"|"Juba esimestel aastatel sai Ever tööd ka raadio kuuldemängudes ja filmis ( "" Andruse õnn "" , 1955 ja "" Tagahoovis "" , 1957 ) ."|"NONE"""
pühapaigas|Mälestusteenistused toimuvad mitmes šiiitide pühapaigas , teisipäeval toimub Hakimi matusetseremoonia Najafis , mis asub Bagdadist umbes 160 kilomeetri kaugusel .|LOC
pühapaigas|Ootamata ära Panga pangal asuva Pärdi maaüksuse detailplaneeringu keskkonnamõjude hindamise kinnitamist , planeeringu kehtestamist ja omamata seaduslikku ehitusluba , alustas maaomanik Alvar Sagur looduskaitsealal asuvas iidses pühapaigas ehitustöid , edastas Maavalla koja vardja Auli Kütt .|LOC
pühapaigas|Kokkupõrked toimusid pühapaigas , mida juudid tunnevad Templimäe ja moslemid Haram as-Sharifi nime all .|LOC
pühapaikadest|Riigil puudub pühapaikadest terviklik ülevaade , mistõttu neid ei saa võimalike arendustööde eest kaitsta .|LOC
pühapaigast|"Koraanis ( Suura 17,1 ) kirjeldatakse taevaminekut järgmiselt : "" Olgu ta kiidetud , kes läks öösel oma teenriga pühapaigast ( Meka ) kaugel asuvasse pühakohta ( Jeruusalemma ) , mille ümbrust me oleme õnnistanud , selleks , et talle näidata meie märke !"|LOC
karistusseadustikust|Selline õiguslik sasipundar tuleneb kahe ja poole aasta eest jõustunud karistusseadustikust , mis näeb ette , et juriidiline isik vastutab väärteo eest vaid juhul , kui selle on toime pannud mõni juhtivtöötaja juriidilise isiku kasu nimel .|NONE
karistusseadustikes|Riigid on seda mõistet defineerinud oma karistusseadustikes , terrorismi definitsioon sisaldub enam kui kümnes rahvusvahelises konventsioonis , samuti on julgeolekueksperdid , õpetlased , lihtsalt targad inimesed ja nende mõttekojad pakkunud välja omi definitsioone .|NONE
karistusseadustikule|Kohus määras Rootsile liitkaristuseks üheks aastat vangistust , kuid kuna tegemist oli lühimenetlusega , siis vastavalt karistusseadustikule lühendas kohus Rootsi karistust ühe kolmandiku võrra .|NONE
karistusseadustikus|Nüüd on tehtud otsus , et osa hakkab olema karistusseadustikus ja osa eriseadustikus , või vähemalt nii on Riigikogu seni hääletamiste kaudu oma tahet väljendanud .|NONE
karistusseadustikus|Riigikohus kergendas prokuratuuri taotlusel 58 süüdimõistetu vanglakaristusi , sest neile kriminaalkoodeksi järgi määratud reaalsed vangistused ületasid praeguses karistusseadustikus samade kuritegude eest ette nähtud karistuste ülemmäära .|NONE
telefoniputkas|Eile kella 10 ajal murdis nüüd juba seesama Natalja kilekaantetäit ankeete , fotosid ja passikoopiaid vastu rinda surudes kodakondsusbüroos tunglevast rahvamassist välja tänavale , valis telefoniputkas numbri ja ütles vaid mõned sõnad : “ Varsti on meie järjekord . ”|LOC
Telefoniputkadest|Telefoniputkadest kadus toona palju materjali .|LOC
telefoniputkasse|Kujutage ette , et lähete telefoniputkasse helistama .|LOC
telefoniputkas|Plahvatus toimus maja juures asuvas telefoniputkas .|LOC
telefoniputkast|Kõige raskem kõne tuli Kaljule telefoniputkast .|LOC
"""olümpiahooaegadel"|""" Euroopa meistrivõistlustel esinesin hästi , olümpiahooaegadel vaevasid mind haigused , "" sõnab Stukalov ."|"NONE"""
Olümpiahooajal|Olümpiahooajal 1991/92 võitis Fabrice Guy viiest talimängude-eelsest MK-etapist neli ja ka aasta tähtsaimal jõuproovil oli tema esikoht eeskätt vaid vormistamise küsimus .|NONE
olümpiahooajale|Eesti sõudjad on alustanud olümpiahooajale põhja ladumist .|NONE
olümpiahooajal|Lõppenud olümpiahooajal küündis Kaseorg taas 8000 punktini , kogudes 8024 punkti Euroopa karikavõistlustel Ibachis , olles seal Eesti meeskonna liidriks .|NONE
NONE
Bolognas|Näiteks Bolognas , kust on pärit kuulus raguukaste salsa bolognese ja tillukesed , veidi pelmeene meenutavad tortellinid , on niisuguseid poekesi aina vähemaks jäänud .|LOC
Bolognas|Just Subaru WRC-auto roolis osaleb Märtin 15.-16. detsembril Bolognas kohaliku legendi Attilo Bettega mälestusvõistlustel rallisprindis .|LOC
Bolognasse|Ometi arvavad Bologna arstid , et on lausa ime , et ägeda maksakahjustusega noor naine saatuse tahtel Eestist just siia , Bolognasse sattus , kus tema elu päästmiseks olid kõik ettevalmistused tehtud .|LOC
Bolognas|"Salo lastelaulufestivali võitudele lisaks sai Liisi Koikson ülemaailmsel laste lauluvõistlusel "" Zecchino D'Doro "" Itaalias Bolognas 1994. a parima välisartisti peapreemia ."|LOC
Bolognasse|Eelmisel nädalal esitasime hea partii Rooma Lazio vastu , kuid nüüd tuleme Bolognasse ja jääme alla igas mänguelemendis .|LOC
üleviimisest|Tartu linnavolikogu esimehe Peeter Tulviste hinnangul tõuseb ministeeriumi üleviimisest Tartule kindlasti kasu .|NONE
üleviimisel|Oma mõju eurooplaste pessimismile on kindlasti meedias palju tähelepanu saanud töökohtade üleviimisel madalama tööjõukuluga riikidesse .|NONE
üleviimisest|Tallink teatas augusti lõpul reisilaeva Regina Baltica üleviimisest Läti registrisse .|NONE
üleviimisele|Mõni aasta tagasi ratifitseeriti siinsamas parlamendisaalis energeetikalaen , mis väga paljudel juhtudel taandus katlamajade ja küttesüsteemide üleviimisele kohalikule kütusele .|NONE
üleviimisel|ETK jaekaubandusettevõtete üleviimisel ketijuhtimisele omandab hästitoimiv logistikasüsteem senisest palju suurema tähtsuse .|NONE
Mexicos|Kõik meie spordisõbrad teavad , et kergejõustiku ajaloo üks võimsamaid võistlusi toimus 1968. aastal Mexicos , kus Robert Beamon hüppas 8.90 , parandades maailmarekordit kaugushüppes korraga 55 sentimeetrit .|LOC
Mexicos|Suvel 1983 Mexicos surnud Buñueli hoiakut kiriku suhtes illustreerib suurepäraselt tema tuntud ütlus : “ Tänan jumalat , et olen ikka veel ateist . ”|LOC
Mexicos|Maailmarekordit parandas tookord Mexicos veel kolmikhüppaja  Adhemar Ferreira da Silva  ( 16.56 ) , napilt jäi sellest vajaka USA sprinteritel 100 ja 200 meetris .|LOC
Mexicos|Roomas läks mul uustulnukana normaalselt , Mexicos kehvasti .|LOC
LOC
Williamsil|Kiirelt tulnud edu ja kiitused lõid Williamsil lained pea kohal kokku , tema järgmised filmiprojektid olid üksteisest küll kardinaalselt erinevad , kuid paraku ka kõikuva esitustasemega : “ The Survivors ” , “ Moscow on the Hudson ” , “ The Best of TimesClub Paradise ” ja “ Size the Day ” .|NONE
Williamsist|Kuid Inglismaa ajalehe The Suni hinnangul teenib maailma 10. reket , venelanna Anna Kurnikova ikkagi Williamsist rohkem .|NONE
Williamsil|Vanemal Williamsil kulus 2 tundi ja 45 minutit , et võita maailma esireketit 4 : 6 , 7 : 6 , 9 : 7.|NONE
Williamsis|""" Vajan värsket väljakutset , Williamsis kujutasin endast juba seisvat vett , "" rääkis ta ületuleku põhjusist ."|LOC
Williamsis|Keevaline lõunaameeriklane peab Williamsis Ralfiga sõnasõdu ning läheks ilmselt Michaelile kätega kallale .|LOC
Siiril|Nimelt kaks aastat tagasi , kui Siiril tuli idee korraldada 30. augusti südaööl Lahemaal Esku kabelis Saxappeal Bandi kontsert .|NONE
Siirilt|“ Aga vat , kui ma oleks praegu ürituse korraldaja , hangiks su telefoninumbri , kutsuks esinema , siis millal üldse oleks esimene vaba võimalus ? ” küsin Siirilt|NONE
Siiril|Sinna on Siiril vaja muusikat veel natuke juurde teha .|NONE
Siiril|See pole Siiril sugugi seganud tegelemast asjadega , mis talle kõige enam meeldivad ja südamelähedased on laule kirjutada ja muusikat teha .|NONE
Siirisse|Kui varem suhtus avalikkus Siirisse kui andunud jüngrisse , kes teeb nagu kästud ja ise ei mõtle , siis praegu toetatakse teda , saadetakse tunnustuskirju , julgustatakse endale kindlaks jääma .|NONE
Varasemast|Varasemast tean , et lendurid saavad eri toitu .|NONE
"""Varasemast"|"Varasemast tuttavat Kaske eksponeerivad "" Pruun "" ja "" Lilla "" ning "" Minimaal "" 1- 4."|"NONE"""
Varasemast|Varasemast sõidavad Nabi bussid muuhulgas ka Los Angeleses , Clevelandis ja Chicagos .|NONE
NONE
Varasemasse|Varasemasse jäävad teatrile omaste vahenditega fikseeritud telelavastused .|NONE
MTÜ-st|Kuigi rattasõitmisest tekkiva müra tugevust ei ole piirkonnas kunagi mõõdetud , usub rada haldav Toomas Kiiler MTÜ-st Keila Moto , et see ei ületa seadusega lubatud mürataset .|NONE
MTÜ-s|Sotsiaalse ettevõtja konkursil osalenud noormehed tegutsevad MTÜ-s Hingest .|NONE
NONE
NONE
MTÜsse|Pole õige öelda , et MTÜsse koonduvad need , kel ei ole äriühingu loomiseks nutti .|NONE
Häädemeestel|Suure pere noorim võsu Linda Oks sündis 1957. aastal Häädemeestel , kasvas üles kuuelapselises peres noorimana .|LOC
Häädemeestel|Kuna kunstnik Polt peab sõbraga Häädemeestel turismitalu , siis on meestel plaanis seksikad taiesed Pärnu Uue Kunsti Muuseumist oma talu kaunistama tuua .|LOC
Häädemeestel|Homme toimuvad Häädemeestel Pärnumaal kehalise kasvatuse õpetajate tänavused koostööpäevad .|LOC
Häädemeestelt|""" Meile helistati kell viis hommikul , et tulge ema päästma , "" jutustas Valentina tütar Riina , kes hommikul koos abikaasaga Pärnumaalt Häädemeestelt teele asus ."|LOC
Häädemeestelt|Näiteks , kui ma sõidan pühapäeva õhtul Häädemeestelt Tallinna ja juhtub õnnetus , kas see on õnnetus teel tööle ?|LOC
anatoomikumil|Tartu ülikooli arstitudengid hakkavad esmaspäevast inimkeha ehitust tundma õppima vaid teoorias , kuna anatoomikumil ei jätku praktikumide korraldamiseks surnukehi .|LOC
anatoomikumist|Hannes Tamm anatoomikumist ütles , et ühtki oma keha müümise juhtu pole teada ei nõukogude ega ka uue vabariigi ajast .|LOC
anatoomikumis|1842-1850 oli Faehlmann ülikooli eesti keele lektor ning luges 1843-1845 vanas anatoomikumis farmakoloogia- ja retseptuurikursust .|LOC
anatoomikumilt|Nad on nagu tüübid , kes on otsustanud oma tulevase laiba ette maha ärida , saaks anatoomikumilt selle eest mani kähku kätte , jõuaks selle klaarilt laiaks tõmmata ja pärast tulgu tulekahju või veeuputus .|LOC
anatoomikumist|-Pärast Biomeedikumi valmimist 1999 kolisid arstiteaduskonna üksused vanast anatoomikumist ära .|LOC
kiirest|SCript: küll su suguvõsa paljuneb kiirest|NONE
kiirest|Bridgestoneid ei soene piisavalt kiirest .|NONE
"""kiirest"|""" Mul on kiirest raha tarvis ! """|"NONE"""
kiirest|noh aga kui kiirest ta siis selle koduka valmis saab ma juba täna päeval lisasin aga õhtux ple ikka veel .|NONE
kiirest|Ka liikusid nanoobid eemale skaneeriva elektronmikroskoobi kiirest ning osutusid sisaldavat DNA-d .|LOC
kombinesoonil|Nimelt leiab Rahvusvaheline Suusaliit FIS , et kombinesoonil paiknevad suured tähed BJ on reklaam , mitte kujunduselement .|LOC
kombinesoonil|Nimelt leiab Rahvusvaheline Suusaliit FIS , et kombinesoonil paiknevad suured tähed BJ on reklaam , mitte kujunduselement .|LOC
kombinesoonidele|Hille Saarepuu utsitab Team 2000 õrnemat poolt ja teeb vajaduse korral näputööd - õmbleb kombinesoonidele sponsorite logosid .|LOC
kombinesoonist|Vesi imbub kombinesoonist läbi , pritsib jäält näkku .|LOC
kombinesoonidesse|Või kiiruisutajad kitsastesse kombinesoonidesse pugenud , mis peale kompressiooniefekti muudab keha voolujoonelisemaks .|NONE
modemist|võtsin siis juhtme , mis läheb modemist võrgukaarti , ja panin selle läptopile järele .|LOC
modemisse|eile öösel äikese ajal jäi mul kaabel modemisse sisse , õnneks midagi ei juhtunud .|LOC
modemil|Minu modemil kõik tuled vilguvad , kuigi peaks põlema vaid kolm ja juhtmed peaks ka kõik ilusti ühendatud olema !|LOC
modemitel|Et järsku üks suur image ja dividega txt peale .. või võtab see modemitel liiga hinge kinni ?|NONE
modemil|Ma unustasin modemil ükskord juhtme tagasi panematta .|NONE
lahingutegevusest|Kuid kui me räägime lahingutegevusest , siis usun nii , et kõige väiksema jõuüksuse pinnal moodustab lahingupaar ehk ka selles kõige väiksemas koosluses on juba partner , kelle eest sa peab kandma hoolt täpselt sama hästi , kui iseenda eest .|NONE
lahingutegevuses|Kolmapäeval toimus veel teinegi rünnak , kurjategijad tulistasid granaatidega USA baasi Bagdadi lähedal , üks USA sõdur hukkus ja seitse sai vigastada , kokku on Iraagis lahingutegevuses hukkunud juba 390 USA sõdurit .|NONE
"""lahingutegevuses"|""" Kõik eestlased on elus ja terved , kuigi Kosovos Pristinas osalesime päris palju lahingutegevuses , "" lausus Vene armee palgasõdurite eriüksuses kaadriallohvitserina teeniv Toomas ( nimi muudetud ) ."|"NONE"""
lahingutegevuses|Ametlikel andmeil on Iraagis reedeõhtuse seisuga lahingutegevuses langenud 1104 Ühendriikide sõdurit .|NONE
lahingutegevusest|Kuigi Vene peaminister Vladimir Putin eitas laiaulatuslike manöövrite korraldamist Tšetšeenias , räägivad sõltumatud allikad ja Groznõi ägedast lahingutegevusest Tšetšeeni võitlejate ja föderaalvägede vahel .|NONE
neitsist|Koos muu ristirahvaga osalen minagi oma tagasihoidlikul moel neitsist sündinu ja ristil lõpetanu sünnipäeva ootuses .|NONE
neitsist|Ivo meenutas ballaadi Porkuni neitsist .|NONE
neitsile|Kuigi ma olen tähemärgi järgi kaljukits , ei tähenda see veel kaugeltki , et mul puuduksid neitsile , lõvile või jäärale sünnihoroskoobi poolt ainuomaselt omistatavad iseloomujooned .|NONE
Neitsisse|Mineviku varjud hajuvad kiiresti 8. oktoobrist 9. novembrini , mil Veenus jõuab Neitsisse , ehk sinu 5. päikesemajja .|NONE
Neitsisse|Siin algab edukas periood maamärgis ( Neitsi , Kaljukits , Sõnn ) sündinud inimestele , sest Jupiter on jõudnud Neitsisse .|NONE
"""ümbriselt"|Vastuse küsimusele , miks staažika laulja esikplaat alles nüüd saadaval , leiab ümbriselt .|"LOC"""
ümbrisel|Nii kirjutas üks Nirvana kahest elusolevast liikmest , Krist Novoselic , bändi ( vähemalt seni ) viimasena ilmunud albumi “ From the Muddy Banks of the Whiskah ” ümbrisel .|LOC
ümbriselt|Valimiku koostajad on asjale hoopis omanäolisemalt lähenenud , seda näeb juba meeliköitvalt ümbriselt , millel kelmikas pilt Jane Birkin'ist .|LOC
ümbrisest|Aga kui sa toosi ümbrisest esile lükkad , siis tuleb toosi põhja peal mehe suust välja – tema ranne ja siis käsi ja käes kahvel , tema suu poole suunatud , saad aru , ja kahvli otsas vorst – ühel vorsti otsal viisnurk ja teisel haakrist .|LOC
ümbrisel|"Nii ütlebki kiri lõunanaabrite valitud prantsuse muusika kogumiku ümbrisel : "" Kaunid unelmad on tehtud Pariisist "" ."|LOC
Isakodust|Isakodust sai aga ehituspraht võõra maa peal .|LOC
isakodus|Nii tema isakodus Pastakul kui ka Kuudsel erines Pühik nudipäistest maatõugu suguõdedest : nimelt olid tal ilusad teravad sarved , kehaplaaniltki oli ta teistest peenem ja suursugusem .|LOC
isakodus|Saaremaal ma kalal ei käi , seal teen isakodus hädapäraseid töid , et majapidamine püsti püsiks .|LOC
isakodust|Sealt võetakse kaasa õigluse- ja puhtuseigatsus , mida õnneks nii paljud inimesed tunnevad tänapäeval väga kaugelgi oma isakodust , keset kõige julmematki võõrandumist .|LOC
isakodus|Toivo käib väga sageli isakodus Rõuges , tal on seal omaette maja .|LOC
Lennusadamas|Operatsioonil osalesid ka liikluspolitseinikud , kes kontrollisid Lennusadamas olnud autosid .|LOC
lennusadamast|Mõis ütles eile , et läheb erakonnakaaslastele lennusadamast tõtt rääkima ning mingeid salaleppeid linnavalitsus sõlminud pole .|LOC
Lennusadamas|Moskva eeslinna järgi nime saanud Venemaa mõjuvõimsaima allilmarühmituse esindajad käisid paari kuu eest Tallinna Lennusadamas , kuhu sadama valdaja Aleksandr Rotko on paigutanud 1,5 miljonit dollarit rühmituse raha , ütles sadama pärast kohtuvaidlusi pidav ärimees Viktor Perevalov .|LOC
lennusadamas|Ebaseaduslikult alustas 2000. aasta kevadel lennusadamas ehitustöid üks Läti firma , endist vesilennukite sadamat püüti hakata ümber ehitama puidusadamaks ilma ehitusloa ja planeeringuta .|LOC
lennusadamas|Nädalavahetuse hea ilm andis tooni ka lennusadamas , kus peeti laupäeval ja pühapäeval merepäevi , mis tõid kokku inimesed ja ka vanad laevad .|LOC
omanikfirmalt|Tallinna transpordiamet nõuab Osten Tori omanikfirmalt Sadabildilt büroohoone ehitamise käigus lõhutud bussipeatuse taastamist ja teede sulgemise eest tekkinud ligi 300 000-kroonise võla tasumist .|NONE
omanikfirmast|Naissaare sadama omanikfirmast Linda Investments ei õnnestunud reedel hinnakirja kohta kommentaare saada .|NONE
omanikfirmas|Tuule saab kanal tiibadesse investeerimispanga Lõhmus , Haavel & Viisemann ( LHV ) abil , sest suvel omandasid LHV investorid telekanalit haldavas omanikfirmas AS Santenor enamusosaluse .|NONE
omanikfirmalt|Esimeses nõudis Soosaar Pajolt ja Raadio Pärnu omanikfirmalt OÜ Õhk au teotavate andmete ümberlükkamist ja moraalse kahju hüvitamist 50 000 krooni .|NONE
"""omanikfirmast"|Erki Berends Kuku omanikfirmast Trio LSL kinnitab : “ Tean vähemalt üht raadiokuulajat , kes paneb ämma köögis kindlasse kohta seisma , et Kuku selgesti kostaks !|"NONE"""
